instance_id,instance_type,availability_zone,launch_time
i-1077,m5.large,us-east-1b,2024-01-04 13:05:00
i-1078,c5.large,us-east-1a,2024-01-04 17:06:00
i-1079,c5.large,us-east-1a,2024-01-03 20:10:00
i-1080,t3.medium,us-east-1b,2024-01-02 17:00:00
i-1081,t3.medium,us-east-1a,2024-01-01 20:54:00
i-1082,t3.medium,us-east-1a,2024-01-01 13:05:00
i-1083,m5.large,us-east-1b,2024-01-04 04:32:00
i-1084,t3.medium,us-east-1b,2024-01-01 11:40:00
i-1085,t3.medium,us-east-1a,2024-01-02 14:54:00
i-1086,m5.large,us-east-1a,2024-01-02 13:19:00
i-1087,c5.large,us-east-1b,2024-01-02 23:54:00
i-1088,t3.medium,us-east-1a,2024-01-01 09:08:00
i-1089,m5.large,us-east-1b,2024-01-01 13:01:00
i-1090,m5.large,us-east-1a,2024-01-04 03:12:00
i-1091,t3.medium,us-east-1b,2024-01-02 20:20:00
i-1092,t3.medium,us-east-1b,2024-01-01 15:58:00
i-1093,t3.medium,us-east-1a,2024-01-03 08:24:00
i-1094,c5.large,us-east-1a,2024-01-03 19:29:00
i-1095,m5.large,us-east-1b,2024-01-02 12:04:00
i-1096,m5.large,us-east-1a,2024-01-03 12:33:00
i-1097,m5.large,us-east-1a,2024-01-04 12:56:00
i-1098,c5.large,us-east-1a,2024-01-02 03:11:00
i-1099,t3.medium,us-east-1b,2024-01-03 13:17:00
i-1100,t3.medium,us-east-1b,2024-01-04 17:22:00
i-1101,t3.medium,us-east-1a,2024-01-03 14:17:00
i-1102,m5.large,us-east-1b,2024-01-02 03:48:00
i-1103,t3.medium,us-east-1a,2024-01-01 10:44:00
i-1104,t3.medium,us-east-1a,2024-01-02 02:12:00
i-1105,t3.medium,us-east-1a,2024-01-01 16:41:00
i-1106,m5.large,us-east-1b,2024-01-03 04:13:00
i-1107,t3.medium,us-east-1b,2024-01-01 00:23:00
i-1108,c5.large,us-east-1b,2024-01-02 02:43:00
i-1109,c5.large,us-east-1b,2024-01-03 12:03:00
i-1110,t3.medium,us-east-1b,2024-01-02 11:18:00
i-1111,m5.large,us-east-1a,2024-01-02 18:38:00
i-1112,t3.medium,us-east-1b,2024-01-04 21:44:00
i-1113,m5.large,us-east-1b,2024-01-04 19:20:00
i-1114,t3.medium,us-east-1b,2024-01-02 13:41:00
i-1115,m5.large,us-east-1a,2024-01-03 06:57:00
i-1116,t3.medium,us-east-1a,2024-01-02 22:20:00
i-1117,m5.large,us-east-1a,2024-01-01 01:01:00
i-1118,c5.large,us-east-1b,2024-01-01 21:55:00
i-1119,t3.medium,us-east-1a,2024-01-02 05:30:00
i-1120,t3.medium,us-east-1b,2024-01-02 09:57:00
i-1121,m5.large,us-east-1b,2024-01-01 06:04:00
i-1122,m5.large,us-east-1b,2024-01-03 03:41:00
i-1123,t3.medium,us-east-1b,2024-01-01 13:03:00
i-1124,m5.large,us-east-1b,2024-01-02 22:02:00
i-1125,c5.large,us-east-1a,2024-01-04 15:43:00
i-1126,m5.large,us-east-1b,2024-01-02 21:03:00
i-1127,c5.large,us-east-1a,2024-01-02 21:13:00
i-1128,c5.large,us-east-1b,2024-01-03 13:24:00
i-1129,c5.large,us-east-1a,2024-01-04 20:42:00
i-1130,c5.large,us-east-1b,2024-01-02 21:48:00
i-1131,t3.medium,us-east-1b,2024-01-01 23:24:00
i-1132,m5.large,us-east-1b,2024-01-01 23:51:00
i-1133,t3.medium,us-east-1a,2024-01-02 15:03:00
i-1134,m5.large,us-east-1b,2024-01-04 18:03:00
i-1135,c5.large,us-east-1b,2024-01-04 20:46:00
i-1136,t3.medium,us-east-1a,2024-01-01 01:27:00
i-1137,m5.large,us-east-1a,2024-01-01 01:30:00
i-1138,t3.medium,us-east-1a,2024-01-04 18:44:00
i-1139,m5.large,us-east-1a,2024-01-04 18:37:00
i-1140,c5.large,us-east-1b,2024-01-02 16:02:00
i-1141,m5.large,us-east-1a,2024-01-03 00:44:00
i-1142,t3.medium,us-east-1a,2024-01-02 22:43:00
i-1143,t3.medium,us-east-1b,2024-01-04 01:30:00
i-1144,c5.large,us-east-1b,2024-01-04 00:49:00
i-1145,m5.large,us-east-1b,2024-01-04 17:27:00
i-1146,m5.large,us-east-1b,2024-01-04 16:09:00
i-1147,m5.large,us-east-1b,2024-01-04 14:54:00
i-1148,m5.large,us-east-1a,2024-01-04 01:01:00
i-1149,c5.large,us-east-1b,2024-01-02 06:33:00
i-1150,c5.large,us-east-1a,2024-01-01 04:01:00
i-1151,m5.large,us-east-1a,2024-01-02 15:11:00
i-1152,t3.medium,us-east-1a,2024-01-02 14:42:00
i-1153,m5.large,us-east-1a,2024-01-03 23:15:00
i-1154,t3.medium,us-east-1a,2024-01-04 20:50:00
i-1155,t3.medium,us-east-1a,2024-01-01 02:55:00
i-1156,t3.medium,us-east-1a,2024-01-01 05:44:00
i-1157,t3.medium,us-east-1b,2024-01-02 07:41:00
i-1158,m5.large,us-east-1a,2024-01-02 19:37:00
i-1159,m5.large,us-east-1b,2024-01-02 17:50:00
i-1160,t3.medium,us-east-1b,2024-01-02 22:52:00
i-1161,m5.large,us-east-1b,2024-01-02 07:57:00
i-1162,c5.large,us-east-1a,2024-01-04 21:33:00
i-1163,m5.large,us-east-1a,2024-01-04 07:47:00
i-1164,t3.medium,us-east-1a,2024-01-02 13:16:00
i-1165,t3.medium,us-east-1a,2024-01-01 21:48:00
i-1166,c5.large,us-east-1a,2024-01-02 09:36:00
i-1167,m5.large,us-east-1a,2024-01-04 16:26:00
i-1168,m5.large,us-east-1b,2024-01-04 09:57:00
i-1169,t3.medium,us-east-1b,2024-01-04 03:39:00
i-1170,m5.large,us-east-1a,2024-01-03 02:53:00
i-1171,m5.large,us-east-1a,2024-01-01 06:59:00
i-1172,t3.medium,us-east-1a,2024-01-03 12:29:00
i-1173,t3.medium,us-east-1b,2024-01-04 14:20:00
i-1174,t3.medium,us-east-1b,2024-01-01 15:27:00
i-1175,m5.large,us-east-1b,2024-01-01 09:51:00
i-1176,c5.large,us-east-1b,2024-01-04 14:22:00
i-1177,c5.large,us-east-1b,2024-01-03 11:39:00
i-1178,t3.medium,us-east-1a,2024-01-03 06:41:00
i-1179,m5.large,us-east-1a,2024-01-04 01:54:00
i-1180,m5.large,us-east-1a,2024-01-03 01:03:00
i-1181,m5.large,us-east-1a,2024-01-01 21:05:00
i-1182,m5.large,us-east-1a,2024-01-04 18:40:00
i-1183,c5.large,us-east-1b,2024-01-01 10:13:00
i-1184,t3.medium,us-east-1b,2024-01-02 12:37:00
i-1185,t3.medium,us-east-1b,2024-01-03 20:41:00
i-1186,t3.medium,us-east-1b,2024-01-01 23:33:00
i-1187,c5.large,us-east-1b,2024-01-02 06:40:00
i-1188,c5.large,us-east-1b,2024-01-03 05:24:00
i-1189,t3.medium,us-east-1b,2024-01-02 18:13:00
i-1190,t3.medium,us-east-1a,2024-01-03 22:02:00
i-1191,c5.large,us-east-1a,2024-01-02 05:28:00
i-1192,c5.large,us-east-1a,2024-01-04 19:12:00
i-1193,m5.large,us-east-1a,2024-01-01 07:53:00
i-1194,m5.large,us-east-1a,2024-01-01 13:05:00
i-1195,c5.large,us-east-1b,2024-01-04 02:29:00
i-1196,c5.large,us-east-1a,2024-01-03 13:34:00
i-1197,m5.large,us-east-1a,2024-01-01 21:58:00
i-1198,t3.medium,us-east-1b,2024-01-01 01:21:00
i-1199,t3.medium,us-east-1b,2024-01-03 14:21:00
